[2026-07-14T19:45:15.627Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-14T19:45:15.630Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-14T19:45:15.631Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-14T19:45:15.632Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-14T19:45:15.633Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-14T19:45:15.634Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-14T19:45:15.635Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-14T19:45:15.636Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-14T19:45:15.637Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-14T19:45:15.641Z] [INFO] Daemon started (PID: 64452, CPUs: 8, workers: 7, maxCpuLoad: 6.4, minFreeMemoryPercent: 10%)
[2026-07-14T19:45:15.646Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:45:15.651Z] [INFO] Worker map completed in 8ms
[2026-07-14T19:47:15.644Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:47:15.647Z] [INFO] Worker audit completed in 3ms
[2026-07-14T19:49:15.671Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:49:15.685Z] [INFO] Worker optimize completed in 28ms
[2026-07-14T19:51:16.285Z] [INFO] Worker consolidate deferred: Memory too low: 9.7% free
[2026-07-14T19:53:15.680Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T19:53:15.770Z] [INFO] Worker testgaps completed in 94ms
[2026-07-14T19:53:15.887Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T19:53:15.893Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T19:53:15.896Z] [INFO] Worker consolidate completed in 13ms
[2026-07-14T19:55:15.707Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-14T19:55:15.713Z] [INFO] Worker backup completed in 36ms
[2026-07-14T19:57:15.644Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-14T19:57:15.654Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-14T19:57:15.656Z] [INFO] Worker audit completed in 3ms
[2026-07-14T19:57:15.676Z] [INFO] Worker harness completed in 35ms
